is_offensive,text
0,Then go to the village pump and suggest they change the language in how a RFC should be set up.
1,"ANTI GREEK NATIONALIS -WIKIPEDIA 

Hi Alexikoua,
Yous should not vandalise Wikipedia by editing false information.You may be a chauvinist but you can not edit false information on Wikipedia.There is nowhere 6 percent greeks in Albania. ... THIS IS THE REAL INFORMATION BECAUSE IT IS THE CENSUS. DO NOT VANDALISE WIKIPEDIA WITH YOUR MILITANT IDEAS."
1,Dis hoe wasnt dis violent on Lottery Ticket 😂😂
0,It is better for Atabay not helping the banned vandals pushing their POV.
0,"""is in CamelCase.  """"SiCKO"""" is not CamelCase, so the CamelCase rule R. Baley mentions is inapplicable.  """
0,"and  

Hi!  has Requested Arbitration with me:

Wikipedia:Requests for arbitration/Trey Stone and Davenbelle
Wikipedia:Requests for arbitration/Trey Stone and Davenbelle/Evidence

You are mentioned in evidence that I have presented and I'm bringing this to your attention. Comments and evidence of your own are welcome.

Sincerely,  01:08, May 14, 2005 (UTC)"
0,Nonetheless lactose has a hemiacetal group while e.g. sucrose and trehalose don't (they are locked acetals)
0,"Revert as much as you want 

But never say you have my permission to attack LEBANON"
1, Yo bag Gucci but you still ugly hoe shut up
0,"Thanks
I would have used the ping thanks but it does not include my sentiments that I appreciate the time you took to add this. Much appreciated. |Talk"
0,"Please do your testing in the sandbox. Thanks.   20:05, 19 Jul 2004 (UTC)"
0,"re: scott fivelson 

Hello there.  I believe I have made considerable progress to adding credibility to Scott's page including adding references.  Would you care to reconsider your review of his page that you marked for deletion?  I would happy to email you any PDF of his past articles in the Los Angeles Times, or Chicago Times, ... that you would care to see.

Thanks,

Ron"
0,"""

 Prometheus 
""""net word count now reduced so that can't be used as an excuse for deleting constructive contributions""""

 It was not an excuse, it is an unnecessary detail. Unless you have some ulterior motive for him doing it, he does it because they don't have the equipment or staff to deal with a pregnancy especially an alien one. The only important part is she finds out it is inside her, she gets it removed. Don't be bitchy in edit summaries, it's tedious.

Given Weyland's instructions to infect somebody (whether David picked Holloway because he patronised him, or whether Weyland picked him, is unclear) at the cost of their own life to get hold of Engineer genetics, """"an ulterior motive"""" - that they are more interested in the alien than in her, and that they don't share her Ripley-ish instincts that the alien just needs to be killed - is a pretty clear inference. Or alternatively she might just be worried that Vickers will kill her with a flamethrower when she finds out Shaw is also """"infected"""". Either way, I suspect other people may feel the same - and indeed it's the sort of plot point which somebody whose attention has drifted or who has nipped out for a pee could miss at first viewing. Being a barnstarred editor of film articles does not mean that your humble opinion of which plot point is important is correct and everybody else's isn't, although I'm glad to see that it's been left in. And please don't leave bitchy messages on the talk pages of constructive contributors - to coin a phrase, it's tedious.  """
0,"Doesn't need to be either/or. During the Cold War, Americans shared technology with NATO nations that they would not share with the Soviets or Eastern Bloc nations. So it could be American technology being used at a Canadian company. While I have no specific knowledge in this case, such practices were common, and remain so today concerning nations the U.S. deems friendly (as opposed to nations such as N. Korea and Iran). Hope this clarifies.  o)"
0,and that's what they were called most of the time back in 1992-1993
0,"(UTC)

But what is it with you the protesters and your inability to help yourselves?

Indeed, some of you have a PhD in molecular biology, some have several science degrees. For such a person it should be an execise of several hours (well, maximum, several days), to take an appropriate book (or two), to learn what the expected value is, to return here and make this page satisfactory! Instead, you complain during years. During this time some of you that had no appropriate education at the time of the initial complain should get such education. But no; no one of you returns. What could it mean? Either you are all hopelessly uneducated (contrary to your claims), or when getting educated you start to understand that the article is what it should be. Any other explanation of the phenomenon?   11:32, 19 March 2014"
0,"""

 Locked talk page 

""""Since you immediately removed them again, including mine above, I have now protected the page. You can't edit it any more.""""

This is NOT true, it was  who removed that stuff and vandalized my talk page."""
0,I DID SAY THE RIGHT STUFF HOW IS IT INVAILD????????????????????
0,"""

This is the website,  

it clearly states that it is """"(pejorative)"""" = racist
thus, i need evidence that Serbs and Vlah's are the same as you claim. (its kind of saying that """"dirty mexican"""" is a term for all latin people) 

do you understand, now, why im asking for proof?  
  """
0,"Bias 
This article is pretty biased, with all the talk about how great the diet is and no criticisms."
0,""" and all it does is make the cursor hover over the searchbox when you click on the main page.  

Don't worry, I understand. The April Fools mayhem can get out of hand, and it makes total sense that an edit to MediaWiki space today gets reverted by accident in the quest to fix a prank. ) {t.l} 

Yeah its not so much the lack of humor but the concern that things can get seriously damaged because of the """"silliness.""""  Sorry again for deleting a gadget which you were creating with good intentions. (talk) 

 Just an FYI 

I had the Vandal coaching page userfied to  (Talk Page) (Contribs) (E-mail me) 

 Spoofs 

They're probably not ones you'll add to your list, but here are two more:  )   

Signpost updated for March 31st, 2008.

 Weekly Delivery

 Volume 4, Issue 14  31 March 2008  About the Signpost

 Home  |  Archives  |  Newsroom  |  Tip Line   |  Single-Page View Shortcut  WP:POST

You are receiving this message because you have signed up for the Signpost spamlist.  If you wish to stop receiving these messages, simply remove your name from the list.    

 JJonz returns 

Yet more socks of JJonz, *sighs*, can someone ban this guy's ips already? [[User:Sessho"
1," I love my family, but I wouldn't even need water to pop that Red Pill. That hoe is getting taken swiftly. "
0,"""
Those sources were given in response to the ludicrous claim that this controversy was discussed only in """"right wing"""" media. And the AIP article does include links to articles discussing Wiki,   """
1,"""

 A kitten for you! 

dose this look like you bastard FUCKER??

  
"""
0,Can a non-british individual be cabinet minister in the UK government?
0,thanks for mentioning it.Odd nomination of the week. I've commented there accordingly. ''''''
1, @DFkinLopes LMfAOOO this bitch tongue longer than some niggas dicks
0,Volcano | class=Start | importance= Low
1, gimmmmmie a hoodrat bitch
0,"Unlock page 

70.181.122.173  is no longer vandalizing the page. Can somebody at least let registered users edit the page now? Thank you."
1,Who cares asshole? Stop terrorizing wikipedia users with your stupid questions!
0,"""

 Come clean 

So that means that, rather than letting the rest of us do the actual work of creating an on-line uncensored NPOV encyclopedia, you are no longer creating content, you are merely destroying the content that you do not like.  You really need compute the integral on this fucntion: if the information destruction is more than the information-creation, then you end up with zero for your fabulous encyclopedia, sir.  Do the math.  Then do a personal inventory on yourself and, if you are not creating net content, then please remove yourself from Wikipedia and stay out untill you find the will to control your need to destroy information that you simply do not like and """"contribute"""" a net positive amount of information to Wikipedia.  You are not functioning in a manner to just """"clean up"""" Wikipedia: you are destroying it.   """
0,"Not quite'. 'Checking the minor edit box signifies that the current and previous versions differ only superficially (typographical corrections, etc.), in a way that no editor would be expected to regard as disputable'. Point taken nonetheless."
1,"You arrogant, ignorant fool! You think you are the hottest thing on this site! NEWSFLASH: Your not! You know absolutely nothing about wrestling, and you present yourself like a seriously idiotic person. The next time you want to leave a message on my page again! LEARN TO SPELL! Silly bitch! ( )"
0,"""

 Help 

Hi Julius, I was wondering if you could help me with something. I'm confused as to what the most common meaning of the word """"Alego"""" is. Does the term refer to a general region around Lake Victoria? Or is it an alternate name for Kogelo? Page 9 of Dreams from My Father says that Barack Obama's father was born """"on the shores of Lake Victoria, in a place called Alego."""" Other references to the name gives me the impression that Alego is a village. What do you think? khoi """
0,"""

first. come on. I should be ashamed because I lied to you eh. LoL. thats the last thing in my to do list. If you wish to play a game of ethics with me let me tell you it wont work and I would advice you to do it first yourself. question your life in the web. 

Second. Yes I am talking about that Holdwater stuff. please I am Just telling again you are making your self funny. I talked with all these people seperately. you are a highly intelligent man who has devoted his life to web forums and being the genocide Champion and I see that as a real waste. oh I know it is none of my bussiness. just like you I love sticking my nose every where.

finally. FYI: I have read almost every page in discussion, not like a real book ofcourse with fast tracking it took almost 4,5 hrs. I am really a grand child of a survivor so I wont buy any of your """"I have read all avaliable"""" bluffs. Do you feel honest within your self. blaming a nation and its people with genocide recklessly. Especially when facing a person whose relatives were killed by your ancestors. dont tell me """"scolars are saying these and that"""" stories. If you fare honest then you may have the right to ask people to be honest. bye. """
0,"""====Regarding edits made during May 28 2006 (UTC)====
Please refrain from adding nonsense to Wikipedia, as you did to Canada. It is considered vandalism. If you would like to experiment, use the sandbox.  If this is an IP address, and it is shared by multiple users, ignore this warning if you did not make any unconstructive edits.  Talk """
1,“@skimaskjojo: “@1waynostra: Dat bird bitch”HEAVY BIRDCAGE BITCH” byyyyyyrrrrrrrrrrrrr bitch 🐥
0,"Regulatory 

I see that there is a little battle going on over where to put the FDA and other regulatory stuff.  My opinion is that it should go with the relevant product sections, ie., dressing clearance with dressings, topical with topical and alt. med with alt. med.  I think that we need to reinforce the fact that there are approved/cleared uses and compounds and OTC quackery that has been the subject of FDA restrictions."
1,This bitch is a cunt!
0,"Quick question 

Pardon the IP. I edit mostly from my cell phone. Anyway, I've been around awhile and I've noticed that every year, in the spring, you disappear for several months at a time. Obviously you don't have to tell me this, but I'm curious as to the reason for this. Are you a tax accountant? (That would be my guess.) Are you visiting friends or family in another country? Or do you just get burned out from being on here and designate yourself an annual break? I'm not expecting a response any time soon, as you're currently in the middle of one of the aforementioned breaks. Ultimately you don't even have to reply at all. If you would, though, I'd very much appreciate it. Thanks. 166.176.249.141"
1,I hate that one random tear that comes out when you haven't blinked 😰like nigga stop being a bitch 💢
0,"""

""""Phythian clearly cites Murray Waas and Craig Unger as its source.""""

They are journalists. Who are their sources?  """
0,"Addendum - I would also counsel that having a short discussion with one or two other editors at the Talk page is not necessarily sufficient justification for a unilateral action to eliminate all flag icons in corporate or other infoboxes, since they are not specifically banned (yet) on the Project page.  You need to think about getting buy-in from the community, and changing the MOS itself, so you have a policy or guideline (as it were) to point to, rather than just a short discussion amongst editors.  Thanks again!  '''''' ( Talk/contribs )"
0,"""

 Not I; I just don't like being forcibly separated from friends and never being able to find my way back; always some damn referendum or something.   (Talk) """
0,"It's quite a funny coincidence that all of the IP editors attacking the 50% page are from the UK and several of them have also significantly vandalizes Sandpit, including Special:Contributions/83.67.56.138.  Not funny ha-ha, mind you, but funny. -"
0,"I've trimmed it down. If you want, you can use them in the article, if not, just leave them there. Thanks."
1,User:PCHS-NJROTC is a cum gargling d-bag. )
0,"""==Sockpuppetry case==
 
You have been accused of sockpuppetry. Please refer to Wikipedia:Suspected sock puppets/Koov (2nd) for evidence. Please make sure you make yourself familiar with notes for the suspect before editing the evidence page. 155.188.183.6  """
0,"REDIRECT Talk:John Harley (bishop, died 1788)"
0,"taken down  

 - stop that -"
0,"Jun 2005 (UTC)

Is delusion a quality of a sub-genius?
sub-genius, tremble in the presence of a true genius. 03:55, 26"
1,All these bitches know that you're my nigga 👋
0,"""
Oh, I'll put back the first paragraph, then. [review] """
0,"Verification can be determined from vinyl, cassettes and CD's which still came be purchased online from a variety of mail order retail outlets. All the information is included in the artwork!"
0,"Dunno. Looks OK to me. What didn't you like?  21:38, 28 Apr 2005 (UTC)"
0,"infobox awards 

apparently,  is being used as a method for gluing together  templates (see, for example, Ninian Park and Cathays Park).  a check of what links to that template indicates that less than half are actually correct uses.  perhaps a solution would be to make  able to render more than one row? I have seen , but I'm not sure that is the solution for this particular problem."
0,"Unwilling 

Unwilling to use a toilet?  What the...?12.26.68.146"
0,"@IAmPikey 
I wonders why dare ain't no colored folk up dare?"
0,"Good job for having your bully NeilN defend you.  You sure are a piece of work.  Goodbye Wikipedia, congratulations, you will never be accurate while you behave like this.  All I did was add accurate information.  Helen, hang your head in shame, in serious, severe shame.  I hope that you see the level of harm you have done, even if NeilN doesn't because his head is too far up his own backside to actually check any facts. 123.2.223.96"
0,"I've started a stub on MK Guth . And one for David Butts . Should I submit them to be moved to live pages (as stubs), or delete the references to them here in this list of artists? An admin speedily deleted the David Butts article as I was writing it, so trying to avoid that mistake again."
0,"I've been working as an HR Manager for quite a while right now, I think I mastered all the ins and outs of this profession. I am also experienced in Project and Program Management."
0,"""

 Nonsense 
The edit on Siberian shamanism was one of my many udoes to your contribs a few days ago before I was banned. That was one of my various diatribes done to give you a taste of your own medicine of subverting, deleting and merging the talks of other editors without any rhyme or reason. I was on the edge of legality because I had never heard of Siberian shamanism (what next ? Catholic fire rituals ? -))) but it would not have taken long for some googling to come up with some insipid reason to validate my edit.

The edit on Paganism is right. Paganism is a CLASS of religions just like helicopter is a CLASS of aircraft, or planet is class of heavenly bodies. Hence your comment that """"Pagans are fewer than Hindus"""" makes little sense, because Hinduism is technically a pagan religion (in fact all Dharmic religions are for that matter). """
0,"""

 Persondata 

Despite reading WP:Persondata I am still not clear on the sort of descriptions wanted or required.

I note you added persondata to both Pete Gage (guitarist) and Pete Gage (vocalist) to say """"British Musician"""".  Having spent some time trying to differentiate between the two, as many sources confuse them, I think the generic """"musician"""" is confusing, so have amended this to """"British guitarist"""" and """"British vocalist"""", albeit that they both have other talents.  If this is incorrect, please revert, and tell me why/what the deciding factors are, in a case where two people have the same name, and are regularly confused   """
1, I just wanna ball my fist in your hair and shake the bitch right out of you.
0,"GREAT !!!!  THANK YOU !!!  I really do appreciate the information you supplied above.  You have given me an
answer to a matter I was confused about.  So, my next question is, since Jennifer O'Neill is very famous for that movie, can I use that same movie poster image pic for her wikipage I contributed to? Please explain. Thanks!! Also, in a good faith attempt to comply with policy, I uploaded a pic of her at a public speaking engagement in Washington, D.C. at a prochoice rally, taken of her in public (but I do not know who the photographer was), but that was deleted too, making me confused and somewhat exasperated, maybe being a 1st timer and new.   thanks for your time  (see, I am not a child)."
0,"Couples 

As far as I can see, the phrase 'same-sex couples' was deleted to appease one unhappy yet vocal editor.  I have reinstated it.  The phrase is used elsewhere in Wikipedia when discussing this subject and its use here therefore makes sense."
0,"Ankaram 

You should post this to the admin noticeboard, and offer it to a wider wikipedia audience. As for checkuser, it's not so much that they refuse requests from people not in the clique, but these requests are generally only used when rules have been violated. I don't think any purported sock of Ankaram has been subject to admin action yet. So I suggest you bring this to the wider community and maybe some things will come of that. Having a sockpuppet is not disallowed, so checkuser is rarely used."
0,"""
Hi OhConfucious. Correct, as you say (1) no, the RfC didn't anticipate that the disruption would move from titles to ledes, hence the need to reopen the RfC, (2) no, with the Gaj's alphabet Dj/Đ """"because their appearances are sufficiently different as to potentially cause confusion"""" - and this exception was recognised in the RfC, and should continue to be recognised as an exception if the RfC is reopened too. The Category:Serbian female tennis players: contains none, Category:Serbian male tennis players only contains 3 such players - which are still at """"English names"""" so the 100x Facundo Argüello (tennis) ledes affected do not include these 3 anyway. The 100x ledes affected are all of the 'François Hollande', or 'Charlotte Brontë' do not come in the 3x """"because their appearances are sufficiently different as to potentially cause confusion"""" - there is no """"François/Francois"""" """"Brontë/Bronte"""" confusion issue as with Dj/Đ. Hence this is simply confirming the original RfC result.   
"""
0,"Market Conditions

You obviously have a maddenly simple-minded view of the world; therefore, STFU and stop commenting about topics that exceed your education and experience."
0,Could you produce a link to the policy page where that is said please? I have never read it myself.
0,Hi Manjuap please provide the appropriate references. You can do that by giving information such as distance to Bangalore International Airport and wipro/inforsys links that say that they have a office there.
0,"Edit request from 120.63.15.134, 29 August 2011 There is no flogging of people who drink alcohol in Ralegan Siddhi at all. I grew up near Ralegan(Ahmadnagar). It is false, 

About Anna Hazare the lines written by author are not proved. Please delete these line. I am from his village. there is no practice of flogging. Flogging is followed in rural India from past. Anna Hazare in fact educated people against superstitions. Rural people practiced several forms of superstitions to ward of addictions which sufferers could not control themselves. They themselves consented to flogging seeking for some solution. But Anna Hazare, tried his best to stop this flogging practice and encourage people to increase will power.

I checked the article from which the lines about flogging. There is no reference or proof. These lines may have been used to defame him. PLease remove it from your article unless someone prooves it.

120.63.15.134  
Anna Hazare wants anyone who wants to drink alcohol to be flogged in vigilante style, everywhere in India, claiming that physical abuse is a necessary evil to destroy the free will of any responsible adult who wants to consume alcohol, specially in villages.The Making of Anna Hazare « Kafila. Kafila.org. Retrieved on 29 August 2011.Why God Saved Anna Hazare. Readersdigest.co.in (19 April 2010). Retrieved on 29 August 2011."
1,"Hey, Nazi dude: 

Sherpa derpa derp"
0,"I am really confused 
It said this page was going to have evidence about why I was preminantly blocked from editing, but it's cheesecake instead, why was I blocked because of cheesecake? Please tell me"
0,"""  
""""A criticism of LCEA is that it attempts to eliminate monetary cost analysis, that is replace the currency by which economic decisions are made with an energy currency."""" - Why would this be a criticism?  More explanation would be appreciated.  Thanks.

"""
0,"I replied on my page -)  容 12:31, 5 Sep 2004 (UTC)"
0,"""Thanks for experimenting with the page User:Galis on Wikipedia. Your test worked, and has been reverted or removed. Please use the sandbox for any other tests you want to do. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia.  Thanks. 123 (talk) """
0,"Hi, I have just nominated Ann Sheehy for deletion. This is an article you created. Please have a look at the entry if you disagree with this nomination."
0,"Kyaa the catlord
Kyaa the catlord keeps reverting the Islamism page back too the original version from about a week ago, please get her or him to stop."
0,Thanks for your reply Scott. If I got your back up a wee bit with my post I apologise. I was just trying to say that the majority of people will edit wikipedia without knowing what WR is. Cheers!
1,Flashin money but ya bitch nails not done..
0,"""

 """"Yargh"""" interjection article 

You delete my article, saying that this was du to a lack of sense. But this article should be part of wikipedia.

First thing first, read article before complaining.

Second, article is far from vandalism, take time to write and as not being written for stupidity use.

Third, I personnaly search for website with de definition of Yargh and didn't found, I finally came here which is my source for every thing and I was so disapointed that there was no page about that I decide to write one. I assume I not the only one in the world that as look for this interjection so considering wikipedia as a free and global encyclopedia, my article a full sense to be here.

From The_inventor, hoping that you review the situation a that you see good sense and autorise my article."""
